,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,san jose del golfo,GT,14.7628,-90.3764,85.64,47,17,3.38
1,maplewood,US,44.953,-92.9952,90.32,56,1,9.22
2,tabinay,PH,13.4871,120.9566,79.97,79,100,7.72
3,sarankhola,BD,22.3082,89.7897,78.69,94,100,8.81
4,cusset,FR,46.13,3.4596,63.88,93,96,2.64
6,koprivstica,RS,43.2349,22.6205,73.02,55,0,3.91
7,atkinson,US,42.8384,-71.147,85.71,50,20,1.01
8,ecorse,US,42.2445,-83.1458,83.3,48,90,10.36
10,sarwar,IN,26.0667,75.0,78.53,84,100,11.3
11,obsharovka,RU,53.125,48.8531,64.44,66,5,5.66
12,wilbraham,US,42.1237,-72.4315,87.24,47,40,6.91
13,pravokubanskiy,RU,43.9172,41.8841,57.18,99,100,4.0
14,yauco,PR,18.035,-66.8499,85.82,73,79,1.99
15,lock haven,US,41.137,-77.4469,89.51,41,26,8.68
16,nishinomiya,JP,34.7167,135.3333,75.18,100,100,1.72
17,chaupal,IN,30.95,77.5833,61.38,99,100,2.48
18,skaudvile,LT,55.4167,22.6167,64.65,94,95,5.86
19,midland,US,31.9974,-102.0779,95.18,23,1,0.0
20,asaka,JP,35.8047,139.6019,76.91,80,14,3.2
21,fridley,US,45.0861,-93.2633,91.36,55,1,4.0
22,kalnibolotskaya,RU,46.0058,40.4568,64.18,70,9,3.42
23,san felipe,VE,10.3399,-68.7425,82.26,83,100,4.05
24,rajakhera,IN,26.8961,78.1714,79.18,90,100,13.04
25,lesnoy,RU,57.6198,63.0784,49.44,72,73,6.53
26,la tebaida,CO,4.4527,-75.7875,73.17,70,79,2.01
27,humboldt,US,40.6665,-123.9178,47.35,44,100,4.68
28,cedarburg,US,43.2967,-87.9876,86.9,48,1,1.01
29,long xuyen,VN,10.3833,105.4167,76.95,82,98,10.76
30,kovrov,RU,56.3572,41.3192,59.83,81,4,0.67
31,zhongshan,CN,21.3226,110.5829,82.31,87,80,8.14
32,panshi,CN,42.9422,126.0561,70.86,89,18,1.34
33,alpignano,IT,45.102,7.5266,71.67,83,75,4.61
34,sundsvall,SE,62.3913,17.3063,67.96,68,0,2.3
35,albacete,ES,38.8333,-2.0,79.61,50,0,10.36
36,taklisah,TN,36.7833,10.6333,82.81,73,2,12.03
37,thasra,IN,22.8,73.2167,80.53,83,100,15.35
38,loma alta,HN,15.3967,-88.5597,84.96,74,90,5.1
39,bully-les-mines,FR,50.4438,2.727,62.01,90,88,9.35
40,caridad,PH,10.8315,124.7518,82.74,78,93,14.2
41,sneek,NL,53.033,5.6589,63.84,87,100,7.76
42,parral,MX,26.9333,-105.6667,84.87,24,4,11.79
43,negomiru,RO,44.8333,23.1667,77.16,45,0,3.42
44,alipur,PK,29.3846,70.9116,92.41,50,100,14.23
45,taggia,IT,43.8485,7.8545,76.08,81,4,3.51
46,swansea,GB,51.6208,-3.9432,63.5,85,100,1.99
47,san miguel,SV,13.4833,-88.1833,90.14,60,20,2.3
49,sanpaul,RO,46.45,24.35,75.25,78,8,0.0
50,fukue,JP,32.6881,128.8419,79.0,82,0,3.33
51,clinton,US,42.587,-82.9199,82.31,57,75,1.01
52,prattville,US,32.464,-86.4597,81.93,68,1,5.75
53,lunglei,IN,22.8833,92.7333,68.72,98,100,4.14
54,lemgo,DE,52.0333,8.9,63.43,71,100,8.61
55,rajka,HU,47.9964,17.1982,77.22,66,0,5.75
56,verkh-usugli,RU,52.7,115.1667,57.02,97,100,3.04
57,sabang,ID,5.8933,95.3214,83.34,77,42,18.88
58,zatec,CZ,50.3272,13.5458,70.74,71,94,4.09
59,tole,UA,44.7167,33.8167,75.51,60,24,2.77
60,obodivka,UA,48.4051,29.2477,72.18,63,89,5.99
61,monaco-ville,FR,43.731,7.4248,77.02,84,0,5.75
62,svoge,BG,42.9667,23.35,77.7,54,0,2.01
63,englehart,CA,47.8169,-79.8664,66.76,68,90,8.05
66,iselin,US,40.5754,-74.3224,91.47,42,1,4.0
67,tototlan,MX,20.55,-102.8,76.75,30,98,5.14
68,rosenberg,SK,49.0748,19.3075,65.97,90,58,3.24
69,vetralla,IT,42.3098,12.0784,72.66,63,0,9.22
70,uga,NG,5.9358,7.0793,72.57,82,73,4.72
71,vandalia,US,39.8906,-84.1988,86.63,46,20,5.75
